"","ID","Fitness","Biomass","Seednum","Seedset","Std_SN","Flowered","FlwEnd","Flwday","Aflw","t_SN"
"1","AL1",0,12.782,0,0,-0.279322868,1,1,68,1,0
"2","DE11",4.582677165,1.174,12,1,1.000723662,1,1,51,1,3.46410161513775
"3","DE13",0,0.51478,0,0,-0.279322868,1,1,55,1,0
"4","DE14",0,0.767,0,0,-0.279322868,1,1,63,1,0
"5","DE15",0,4.021,0,0,-0.279322868,1,1,61,1,0
"6","DE20",0,0.18998,0,0,-0.279322868,1,1,64,1,0
"7","DE28",0,0.05709,0,0,-0.279322868,0,1,76,0,0
"8","DE31",0,0.08346,0,0,-0.279322868,0,1,80,0,0
"9","DE35",0,3.776,0,0,-0.279322868,1,1,62,1,0
"10","DE36",0,0.31479,0,0,-0.279322868,1,1,70,1,0
"11","DE39",0,0.02046,0,0,-0.279322868,0,0,100,0,0
"12","DE7",32.84251969,23.517,86,1,8.894343932,1,1,52,1,9.2736184954957
"13","DE9",2.291338583,8.648,6,1,0.360700397,1,1,59,1,2.44948974278318
"14","GA1",0,1.623,0,0,-0.279322868,0,1,82,0,0
"15","GA3",0,9.769,0,0,-0.279322868,0,1,76,0,0
"16","GA4",0,0.30181,0,0,-0.279322868,0,1,92,0,0
"17","GA5",0,13.016,0,0,-0.279322868,1,1,68,1,0
"18","GA7",0.381889764,11.068,1,1,-0.172652324,1,1,66,1,1
"19","MD1",0,0.477,0,0,-0.279322868,1,1,69,1,0
"20","MD12",0,1.435,0,0,-0.279322868,1,1,69,1,0
"21","MD13",1.909448819,3.038,5,1,0.254029853,1,1,57,1,2.23606797749979
"22","MD21",2.291338583,3.344,6,1,0.360700397,1,1,57,1,2.44948974278318
"23","MD26",0,0.0286,0,0,-0.279322868,0,0,100,0,0
"24","MD27",0,0.16686,0,0,-0.279322868,0,1,72,1,0
"25","MD30",3.818897638,13.633,10,1,0.787382574,1,1,50,1,3.16227766016838
"26","MD34",1.527559055,1.702,4,1,0.147359308,1,1,57,1,2
"27","MD40",0,0.10361,0,0,-0.279322868,0,1,81,0,0
"28","MD45",0,0.913,0,0,-0.279322868,1,1,66,1,0
"29","MD5",1.909448819,1.562,5,1,0.254029853,1,1,59,1,2.23606797749979
"30","MD53",2.291338583,0.59,6,1,0.360700397,1,1,57,1,2.44948974278318
"31","MD54",0,2.346,0,0,-0.279322868,1,1,64,1,0
"32","MD55",0,0.448,0,0,-0.279322868,0,0,100,0,0
"33","MD56",0,0.60896,0,0,-0.279322868,0,1,75,1,0
"34","MD57",0.763779528,0.46631,2,1,-0.06598178,1,1,60,1,1.4142135623731
"35","NC1",1.909448819,26.619,5,1,0.254029853,1,1,62,1,2.23606797749979
"36","NC15",0,0.30882,0,0,-0.279322868,0,1,74,1,0
"37","NC21",0,0.05671,0,0,-0.279322868,0,1,74,1,0
"38","NC22",0,2.256,0,0,-0.279322868,1,1,59,1,0
"39","NC24",0,0.532,0,0,-0.279322868,0,0,100,0,0
"40","NC27",0,2.893,0,0,-0.279322868,0,1,72,1,0
