,importance,gene
1470,0.31279380341880353,LOC109185898
648,0.3124465811965812,LOC109156132
1424,0.310363247863248,LOC109178631
1472,0.3100160256410257,LOC109190761
1291,0.3096688034188035,LOC109171946
1332,0.30827991452991466,LOC109187376
1877,0.3079326923076925,LOC109184990
775,0.3065934065934066,LOC109148050
2675,0.302377136752137,LOC109172052
1371,0.30237713675213695,LOC109180577
1014,0.300502136752137,LOC109146631
1767,0.2992521367521371,LOC109190164
2581,0.2977045177045176,LOC109179104
1397,0.2943910256410261,LOC109153239
2125,0.2936668192918197,LOC109153229
881,0.2936271367521367,LOC109172026
1230,0.2932203907203909,LOC109183355
2015,0.29265491452991493,LOC109151903
1778,0.29123626373626404,LOC109183424
2639,0.29081959706959726,LOC109189088
1872,0.2870993589743595,LOC109169788
1408,0.2867521367521373,LOC109194046
2141,0.28380570818070866,LOC109152067
1401,0.28327991452991513,LOC109146956
1262,0.2815438034188041,LOC109157140
2559,0.279986263736264,LOC109187615
2368,0.27979777167277137,LOC109148800
1039,0.27811126373626355,LOC109181946
886,0.27807158119658176,LOC109194042
1566,0.2770795177045182,LOC109167959
2247,0.2763354700854707,LOC109166226
829,0.27355769230769306,LOC109180314
2115,0.2734188034188032,LOC109180955
1294,0.27112713675213757,LOC109161420
878,0.2707501526251529,LOC109170625
1724,0.2702442002442009,LOC109170770
2715,0.26973824786324874,LOC109173835
2001,0.2694902319902326,LOC109182139
1677,0.2693910256410265,LOC109174582
1343,0.2690438034188043,LOC109181850
51,0.26902396214896257,LOC109190160
1570,0.2688850732600741,LOC109160115
854,0.26697039072039136,LOC109193955
138,0.26676205738705755,LOC109151278
2488,0.2664346764346773,LOC109178236
2172,0.26614697802197834,LOC109170279
2432,0.2648275335775344,LOC109176191
456,0.264460470085471,LOC109186455
2620,0.26444062881562935,LOC109191626
515,0.26398427960928034,LOC109177681
999,0.2637759462759471,LOC109187445
2098,0.26348824786324887,LOC109151359
2606,0.2633493589743598,LOC109171536
2106,0.26302197802197846,LOC109163646
1456,0.26279380341880443,LOC109187932
1202,0.26274420024420114,LOC109193772
290,0.2617521367521377,LOC109180988
1842,0.26145451770451844,LOC109179389
2399,0.2610874542124551,LOC109175215
1994,0.2610775335775341,LOC109167153
1620,0.26105769230769327,LOC109150037
55,0.26043269230769306,LOC109191288
640,0.26036324786324877,LOC109185014
400,0.2600755494505493,LOC109190762
1524,0.26000610500610577,LOC109178035
1125,0.2591529304029311,LOC109191573
2202,0.2590934065934073,LOC109163161
1737,0.2590735653235661,LOC109188921
799,0.25897435897436,LOC109165503
2535,0.25857753357753455,LOC109188021
2227,0.25855769230769327,LOC109150856
317,0.25842872405372497,LOC109169265
2286,0.2582402319902328,LOC109188419
1440,0.258210470085471,LOC109158889
574,0.2580318986568995,LOC109189236
656,0.25791285103785144,LOC109160924
2306,0.25758547008547117,LOC109181493
2705,0.2573870573870584,LOC109161820
2463,0.2572580891330902,LOC109188947
2269,0.25725808913309006,LOC109148142
1322,0.25723824786324895,LOC109172972
1426,0.25723824786324895,LOC109163636
1261,0.25703983516483614,LOC109173874
591,0.25701007326007386,LOC109172537
1129,0.25697039072039163,LOC109184825
2494,0.2568910256410267,LOC109171971
2252,0.2567818986568993,LOC109161952
1901,0.2567223748473755,LOC109182714
671,0.2566628510378516,LOC109192937
1576,0.2561965811965823,LOC109165201
372,0.25619658119658223,LOC109181391
689,0.2559584859584855,LOC109192487
1078,0.25584935897436006,LOC109190840
1593,0.25584935897436006,LOC109189520
2290,0.25550213675213784,LOC109181041
1721,0.25550213675213784,LOC109179029
1013,0.2554822954822947,LOC109159041
1810,0.25530372405372503,LOC109168050
1982,0.25515491452991557,LOC109150873
1804,0.2548076923076934,LOC109175920
2466,0.25446047008547124,LOC109163642
1128,0.25446047008547124,LOC109175846
2667,0.25446047008547124,LOC109169765
521,0.25418269230769336,LOC109182042
794,0.254123168498169,LOC109151291
2130,0.254113247863249,LOC109189040
1019,0.254113247863249,LOC109173779
2171,0.25406364468864556,LOC109158921
371,0.2540041208791218,LOC109159203
394,0.2538156288156297,LOC109157098
542,0.2535576923076931,LOC109178190
861,0.2534188034188045,LOC109175833
1387,0.25337912087912184,LOC109188393
