LC5date,Sowing,State,Lat,Long,Site,Family,SibNum,ID,Block,Location,SM,LC1,LC2,LC3,LC4,LC5,LC5 DATE,GR1,GR2,GR3,GR4,Grearly,Surv1,Surv2,Surv3,Surv4,Surv5,Surv6,Surv7,Drought,Dead,FFD,Flowered,LCF,DTF,CW,ASDl,ASDh,ASD,Biomass,PodNum,SeedNum,totalSeedMass,Lobed,Heterozygous
07/09/2021,20-Jul-21,GA,33.017681,-83.503269,80,GA5,1,GA5-1,A,139,0.0524,3,5,9,15,32,16/09/2021,0.166666667,0.5,0.857142857,1.88889,0.3,1,1,1,1,1,1,1,0,0,26/09/2021,1,50,68,40.19,0,3.07,1.535,13.016,0,0,0,1,0
07/09/2021,20-Jul-21,GA,33.017681,-83.503269,70,GA1,1,GA1-1,A,197,0.0224,1,3,4,6,12,17/09/2021,0.166666667,0.125,0.285714286,0.6,0.15,1,1,1,1,1,1,1,0,0,10/10/2021,1,24,82,27.01,2.19,5.79,3.99,1.623,0,0,0,1,1
07/09/2021,20-Jul-21,GA,33.017681,-83.503269,80,GA6,1,GA6-1,A,320,0.0193,0,0,0,0,0,17/09/2021,0,0,0,0,0,1,1,1,1,1,1,0,0,1,,0,,,,,,,0,0,0,0,0,0
07/09/2021,20-Jul-21,GA,33.017681,-83.503269,80,GA6,2,GA6-2,B,50,0.0249,1,5,5,6,13,18/09/2021,0.333333333,0,0.142857143,0.63636,0.2,1,1,1,1,1,1,1,0,0,09/10/2021,1,22,81,36.4,2.14,5.02,3.58,1.92,0,0,0,0,0
07/09/2021,20-Jul-21,GA,33.017681,-83.503269,70,GA1,2,GA1-2,B,140,0.0216,2,3,6,8,12,18/09/2021,0.083333333,0.375,0.285714286,0.36364,0.2,1,1,1,1,1,1,1,0,0,27/09/2021,1,18,69,29.82,0,3.06,1.53,3.463,1,1,0.0136,1,1
07/09/2021,20-Jul-21,GA,33.017681,-83.503269,80,GA5,2,GA5-2,B,207,0.0337,2,5,7,8,15,16/09/2021,0.25,0.25,0.142857143,0.77778,0.25,1,1,1,1,1,1,1,0,0,05/10/2021,1,26,77,39.16,0,3.33,1.665,3.423,0,0,0,1,0
07/09/2021,20-Jul-21,GA,33.017681,-83.503269,70,GA1,3,GA1-3,C,87,0.0229,1,2,3,3,4,19/09/2021,0.083333333,0.125,0,0.08333,0.1,1,1,1,1,1,1,1,0,0,10/10/2021,1,6,82,36.87,2.01,5.54,3.775,0.269,0,0,0,1,1
07/09/2021,20-Jul-21,GA,33.017681,-83.503269,80,GA5,3,GA5-3,C,279,0.0532,1,2,2,2,2,20/09/2021,0.083333333,0,0,0,0.05,1,1,1,1,1,1,1,0,0,,0,,,,,,,0.1174,0,0,0,1,0
07/09/2021,20-Jul-21,SC,33.695047,-80.211483,75,SC13,1,SC13-1,A,82,0.0106,2,4,7,11,20,16/09/2021,0.166666667,0.375,0.571428571,1,0.25,1,1,1,1,1,1,1,0,0,14/10/2021,1,38,86,43.79,0,3.6,1.8,5.038,0,0,0,1,0
07/09/2021,20-Jul-21,GA,33.874519,-83.52615,79,GA2,1,GA2-1,A,97,0.0108,0,0,0,0,0,16/09/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,,,,,,,0,0,0,0,0,0
07/09/2021,20-Jul-21,GA,33.874519,-83.52615,79,GA3,1,GA3-1,A,181,0.0308,2,5,10,21,43,17/09/2021,0.25,0.625,1.571428571,2.2,0.4,1,1,1,1,1,1,1,0,0,04/10/2021,1,64,76,40.57,0,3.28,1.64,9.769,0,0,0,0,0
07/09/2021,20-Jul-21,GA,33.874519,-83.52615,79,GA7,1,GA7-1,A,204,0.0308,3,6,9,16,33,17/09/2021,0.25,0.375,1,1.7,0.3,1,1,1,1,1,1,1,0,0,24/09/2021,1,52,66,35.65,0,5.09,2.545,11.068,1,1,0.01879,0,0
07/09/2021,20-Jul-21,GA,33.874519,-83.52615,79,GA4,1,GA4-1,A,244,0.0155,0,2,2,3,6,17/09/2021,0.166666667,0,0.142857143,0.3,0.1,1,1,1,1,1,1,1,0,0,20/10/2021,1,9,92,32.73,-4.23,0,2.115,0.30181,0,0,0,0,0
07/09/2021,20-Jul-21,GA,33.874519,-83.52615,79,GA7,2,GA7-2,B,65,0.0338,0,0,0,0,0,18/09/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,,,,,,,0,0,0,0,0,0
07/09/2021,20-Jul-21,GA,33.874519,-83.52615,79,GA3,2,GA3-2,B,73,0.0337,3,4,10,14,26,18/09/2021,0.083333333,0.75,0.571428571,1.09091,0.35,1,1,1,1,1,1,1,0,0,25/09/2021,1,40,67,40.89,0,2.56,1.28,6.696,0,0,0,0,0
