LOC109146458	XM_019320728.1
LOC109177273	XM_019329525.1
LOC109185697	XM_019339136.1
LOC109146459	XR_002049371.1
LOC109146459	XR_002049832.1
LOC109146459	XR_002048924.1
LOC109146459	XR_002050271.1
LOC109157715	XM_019305824.1
LOC109171943	XR_002052694.1
LOC109158509	XM_019306689.1
LOC109172516	XM_019322037.1
LOC109174190	XR_002053030.1
LOC109160926	XM_019309554.1
LOC109173360	XM_019322866.1
LOC109174708	XM_019323985.1
LOC109174959	XR_002053222.1
LOC109174884	XR_002053205.1
LOC109174884	XR_002053204.1
LOC109174189	XM_019323694.1
LOC109174958	XM_019324483.1
LOC109174958	XM_019325828.1
LOC109174958	XM_019325155.1
LOC109174958	XM_019326345.1
LOC109164192	XM_019313102.1
LOC109177548	XM_019327283.1
LOC109165150	XM_019314172.1
LOC109178353	XM_019328209.1
LOC109166005	XM_019315198.1
LOC109167594	XM_019316945.1
LOC109179208	XM_019329015.1
LOC109180041	XR_002054130.1
LOC109180041	XM_019330919.1
LOC109180041	XM_019329848.1
LOC109168401	XM_019317684.1
LOC109169294	XM_019318395.1
LOC109170109	XM_019319454.1
LOC109183142	XM_019334565.1
LOC109183142	XM_019333551.1
LOC109183142	XM_019334036.1
LOC109181704	XM_019332705.1
LOC109181704	XM_019331977.1
LOC109185125	XM_019335390.1
LOC109171509	XM_019320570.1
LOC109171586	XM_019320660.1
LOC109171656	XM_019320749.1
LOC109186013	XM_019336216.1
LOC109186837	XM_019337277.1
LOC109187694	XR_002055419.1
LOC109187694	XM_019338358.1
LOC109188739	XM_019339698.1
LOC109188739	XM_019340263.1
LOC109190271	XM_019341050.1
LOC109147041	XM_019296174.1
LOC109147041	XM_019294948.1
LOC109147041	XM_019295474.1
LOC109191101	XM_019342022.1
LOC109193868	XM_019294101.1
LOC109191930	XM_019343490.1
LOC109191930	XM_019344165.1
LOC109191930	XM_019342839.1
LOC109171833	XM_019320938.1
LOC109171920	XM_019321053.1
LOC109171998	XM_019321158.1
LOC109148959	XM_019297735.1
LOC109148959	XM_019298858.1
LOC109148959	XM_019296935.1
LOC109148959	XM_019298247.1
LOC109174414	XR_002053074.1
LOC109174414	XR_002053075.1
LOC109174414	XM_019323671.1
LOC109174839	XR_002053186.1
LOC109151506	XM_019299543.1
LOC109172426	XM_019321613.1
LOC109174250	XM_019323522.1
LOC109172601	XM_019321826.1
LOC109172686	XM_019321944.1
LOC109172925	XM_019322204.1
LOC109174783	XR_002053184.1
LOC109173172	XM_019322489.1
LOC109152473	XR_002049412.1
LOC109153050	XR_002049490.1
LOC109173591	XM_019322867.1
LOC109153581	XM_019301724.1
LOC109154427	XR_002049773.1
LOC109173671	XM_019322985.1
LOC109174608	XR_002053147.1
LOC109174608	XM_019323889.1
LOC109154987	XR_002049880.1
LOC109154987	XR_002049914.1
LOC109154987	XR_002049942.1
LOC109154987	XR_002049965.1
LOC109156374	XR_002050083.1
LOC109175008	XM_019324298.1
LOC109175356	XM_019324646.1
LOC109175269	XM_019324542.1
LOC109175433	XM_019324724.1
LOC109175514	XM_019324817.1
